"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Joseph Forte","BOS",2002,39,-0.013,0,0.006,-0.003,0,0.003,-0.013,-0.01,-2.97,-0.06,-0.013,0.003,0.003,-0.023,-3.03
"Joseph Forte","SEA",2003,86,-0.008,0,-0.008,-0.004,-0.004,0.003,-0.002,-0.009,-2.59,-0.09,-0.009,-0.012,-0.001,-0.011,-2.68
"Josh Akognon","DAL",2013,9,-0.002,0.001,-0.01,-0.018,0.021,-0.002,-0.016,0.006,0.47,-0.03,-0.001,-0.027,0.019,-0.01,0.45
"Josh Boone","NJN",2007,669,0,0,-0.008,0.006,-0.009,-0.003,0.022,0.009,-0.64,0.23,0,-0.002,-0.012,0.032,-0.42
"Josh Boone","NJN",2008,1773,-0.001,-0.002,-0.017,0.016,-0.008,-0.005,0.033,0.008,-0.66,-0.11,-0.003,-0.001,-0.013,0.041,-0.77
"Josh Boone","NJN",2009,995,-0.005,-0.003,-0.017,0.014,-0.007,-0.004,0.029,0.01,-1.23,-0.06,-0.009,-0.003,-0.011,0.04,-1.29
"Josh Boone","NJN",2010,1045,-0.008,-0.006,-0.018,0.012,-0.006,0,0.033,0.012,-1.43,0.16,-0.014,-0.006,-0.006,0.045,-1.27
"Josh Childress","ATL",2005,2376,0.001,-0.003,0.006,-0.01,0,-0.003,0.019,-0.007,1.63,-1.51,-0.003,-0.004,-0.003,0.012,0.12
"Josh Childress","ATL",2006,2249,-0.002,0.005,0.006,-0.004,-0.002,-0.003,0.009,-0.006,0.94,-0.56,0.003,0.002,-0.006,0.003,0.38
"Josh Childress","ATL",2007,2024,-0.008,0.011,0.012,-0.003,0.004,-0.006,0.013,-0.009,1.19,-0.09,0.003,0.009,-0.003,0.004,1.1
"Josh Childress","ATL",2008,2274,-0.006,0.009,0.01,-0.002,0.001,-0.009,0.02,-0.01,1.34,-0.83,0.003,0.008,-0.008,0.01,0.51
"Josh Childress","BRK",2013,100,-0.011,0,-0.01,0.002,0.007,-0.001,0.004,-0.006,-1.96,-0.25,-0.011,-0.008,0.006,-0.002,-2.21
"Josh Childress","PHO",2011,894,-0.002,-0.004,-0.005,-0.006,-0.004,0.003,0.016,-0.013,-0.47,-1.16,-0.006,-0.011,-0.001,0.003,-1.63
