"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andrew DeClercq","ORL",2003,1327,-0.004,0.002,-0.02,0.007,-0.02,0,0.032,0.029,-2.6,2.05,-0.002,-0.013,-0.02,0.061,-0.55
"Andrew DeClercq","ORL",2004,1211,-0.011,0.004,-0.021,0.008,-0.018,0.005,0.032,0.027,-3.48,2.86,-0.007,-0.013,-0.013,0.059,-0.62
"Andrew DeClercq","ORL",2005,49,-0.021,0.006,-0.029,-0.003,-0.009,0.009,0.056,0.03,-3.27,3.49,-0.015,-0.032,0,0.086,0.22
"Andrew Goudelock","LAL",2012,419,-0.011,-0.004,-0.011,-0.009,0.008,-0.007,-0.02,-0.017,-2.44,-2.65,-0.015,-0.02,0.001,-0.038,-5.09
"Andrew Goudelock","LAL",2013,6,-0.069,-0.012,-0.031,-0.001,0.02,-0.011,0.074,-0.017,-6.34,-4.01,-0.08,-0.032,0.008,0.057,-10.35
"Andrew Nicholson","ORL",2013,1249,-0.003,-0.003,-0.015,0.006,-0.009,-0.005,0,0.009,-2.46,-0.33,-0.006,-0.009,-0.014,0.009,-2.8
"Andrew Nicholson","ORL",2014,1174,-0.012,0.003,-0.011,0.003,-0.002,-0.006,-0.002,0.014,-2.88,0.49,-0.009,-0.008,-0.008,0.012,-2.39
"Andrew Nicholson","ORL",2015,371,-0.008,0,-0.016,0.007,-0.003,-0.007,-0.014,0.002,-3.27,-0.32,-0.008,-0.008,-0.01,-0.012,-3.59
"Andrew Wiggins","MIN",2015,2563,-0.001,-0.005,0.012,-0.006,0.002,0,-0.003,-0.014,0.72,-1.66,-0.006,0.006,0.002,-0.017,-0.94
"Andris Biedrins","GSW",2005,384,0.001,0.003,-0.016,0.008,-0.01,0,0.035,0.031,-0.13,2.43,0.004,-0.008,-0.009,0.066,2.3
"Andris Biedrins","GSW",2006,1000,0.006,0,-0.023,0.009,-0.012,-0.003,0.04,0.026,0.15,1.38,0.006,-0.015,-0.015,0.066,1.53
"Andris Biedrins","GSW",2007,2382,0.011,-0.001,-0.019,0.015,-0.016,-0.004,0.028,0.025,0.16,1.34,0.01,-0.003,-0.019,0.053,1.49
"Andris Biedrins","GSW",2008,2078,0.011,-0.004,-0.016,0.013,-0.012,-0.004,0.037,0.03,1.28,1.09,0.008,-0.002,-0.016,0.067,2.37
"Andris Biedrins","GSW",2009,1863,0.011,-0.002,-0.015,0.014,-0.014,-0.001,0.039,0.031,1.09,1.78,0.009,-0.001,-0.016,0.07,2.87
